Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Jack Watson,Pulverized Coal,Operating,MS,30.4408,-89.0265,Mississippi Power Company,Mississippi Power Company,877.2,NA,0,0,Not Considered,Plant Too Old
John Sevier,Pulverized Coal,Operating,TN,36.3767,-82.9639,Tennessee Valley Authority,Tennessee Valley Authority,800,NA,0,0,Not Considered,Plant Too Old
Johnsonville (TN),Pulverized Coal,Operating,TN,36.0278,-87.9861,Tennessee Valley Authority,Tennessee Valley Authority,1485.2,NA,0,0,Not Considered,Plant Too Old
Kingston,Pulverized Coal,Operating,TN,35.8992,-84.5194,Tennessee Valley Authority,Tennessee Valley Authority,1700,NA,0,0,Not Considered,Plant Too Old
Marshall,Pulverized Coal,Operating,NC,35.5975,-80.9658,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",1996,NA,0,0,Not Considered,Plant Too Old
Martin Lake,Pulverized Coal,Operating,TX,32.2597,-94.5703,Luminant Generation Company LLC,Luminant Generation Company LLC,2379.6,NA,0,0,Not Considered,Plant Too Old
McIntosh,Pulverized Coal,Operating,GA,32.3558,-81.1683,Georgia Power Company,Georgia Power Company,177.6,NA,0,0,Not Considered,Plant Too Old
Mitchell (GA),Pulverized Coal,Operating,GA,31.4444,-84.1322,Georgia Power Company,Georgia Power Company,163.2,NA,0,0,Not Considered,Plant Too Old
Monticello (TX),Pulverized Coal,Operating,TX,33.0917,-95.0417,Luminant Generation Company LLC,Luminant Generation Company LLC,1980,NA,0,0,Not Considered,Plant Too Old
Old Hickory Plant,Pulverized Coal,Operating,TN,36.2756,-86.6644,E I Dupont De Nemours & Co,E I Dupont De Nemours & Co,1,NA,0,0,Not Considered,Low DNI
R D Morrow,Pulverized Coal,Operating,MS,31.2194,-89.3933,South Mississippi Electric Power Association,South Mississippi Electric Power Association,400,NA,0,0,Not Considered,Plant Too Old
R S Nelson,Pulverized Coal,Operating,LA,30.2861,-93.2917,Multi-Owned,"Entergy Gulf States Louisiana, L.L.C.",614.6,NA,0,0,Not Considered,Low DNI
Rawhide,Pulverized Coal,Operating,CO,40.8611,-105.0206,Platte River Power Authority,Platte River Power Authority,293.6,NA,86.1,21.8,Good,
Ray D Nixon,Pulverized Coal,Operating,CO,38.6306,-104.7056,Colorado Springs Utilities,Colorado Springs Utilities,207,NA,60.8,15.4,Good,
Red Hills,Pulverized Coal,Operating,MS,33.3761,-89.2183,SUEZ Energy Generation NA,Choctow Generation LP,513.7,NA,149.8,38.2,Fair,
Reid Gardner,Pulverized Coal,Operating,NV,36.6531,-114.6364,Multi-Owned,Nevada Power Company,636.8,NA,86.5,21.9,Excellent,
Roanoke Valley I,Pulverized Coal,Operating,NC,36.4364,-77.6167,Westmoreland Coal Company,Westmoreland Coal Company,182.3,NA,53.6,13.6,Good,
Roanoke Valley II,Pulverized Coal,Operating,NC,36.4364,-77.6167,Westmoreland Coal Company,Westmoreland Coal Company,57.8,NA,17.1,4.3,Good,
Roxboro NC,Pulverized Coal,Operating,NC,36.435,-78.9619,Capital Power Income L . P .,(blank),67.5,NA,20,5,Fair,
Sandow,Pulverized Coal,Operating,TX,30.5642,-97.0639,Luminant Generation Company LLC,Luminant Generation Company LLC,590.6,NA,171.8,44,Fair,
