stateId,year,hdd
AZ,1987,2259
AZ,1986,1787
AZ,1985,2217
AZ,1984,2192
AZ,1983,2231
AZ,1982,2248
AZ,1981,1782
AZ,1980,1892
AZ,1979,2372
AZ,1978,2161
AZ,1977,2018
AZ,1976,2166
AZ,1975,2498
AZ,1974,2282
AZ,1973,2495
AZ,1972,2189
AZ,1971,2444
AZ,1970,2299
AZ,1969,2168
AZ,1968,2223
AZ,1967,2244
AZ,1966,2298
AZ,1965,2221
AZ,1964,2688
AZ,1963,2157
AZ,1962,2127
AZ,1961,2215
AZ,1960,2390
CA,2022,2672
CA,2021,2689
CA,2020,2570
CA,2019,2950
CA,2018,2546
CA,2017,2449
CA,2016,2445
CA,2015,2347
CA,2014,2095
CA,2013,2712
CA,2012,2748
CA,2011,3187
CA,2010,3092
CA,2009,2887
CA,2008,2868
CA,2007,2882
CA,2006,3021
CA,2005,2820
CA,2004,2848
CA,2003,2840
CA,2002,2952
CA,2001,2970
CA,2000,2836
CA,1999,3058
CA,1998,3416
CA,1997,2667
CA,1996,2655
CA,1995,2735
CA,1994,3163
CA,1993,2920
CA,1992,2721
CA,1991,3029
CA,1990,3075
CA,1989,2936
CA,1988,2896
CA,1987,3025
CA,1986,2724
CA,1985,3277
CA,1984,3057
CA,1983,3056
CA,1982,3431
CA,1981,2816
CA,1980,2939
CA,1979,3204
CA,1978,3142
CA,1977,3056
CA,1976,3037
CA,1975,3613
CA,1974,3300
CA,1973,3400
CA,1972,3284
CA,1971,3694
CA,1970,3175
CA,1969,3284
CA,1968,3145
CA,1967,3377
CA,1966,3137
CA,1965,3378
CA,1964,3515
CA,1963,3286
CA,1962,3321
CA,1961,3196
CA,1960,3240
CO,2022,7212
CO,2021,6723
CO,2020,6814
CO,2019,7498
CO,2018,6872
CO,2017,6479
CO,2016,6672
CO,2015,6668
CO,2014,7155
CO,2013,7480
CO,2012,6397
CO,2011,7397
CO,2010,7057
CO,2009,7353
CO,2008,7453
CO,2007,7156
CO,2006,6923
CO,2005,6832
CO,2004,6961
CO,2003,6843
CO,2002,7230
CO,2001,6876
CO,2000,6877
CO,1999,6766
CO,1998,6966
CO,1997,7452
CO,1996,7191
CO,1995,7217
CO,1994,6851
CO,1993,7780
CO,1992,7137
CO,1991,7229
CO,1990,7203
CO,1989,7289
CO,1988,7364
CO,1987,7241
CO,1986,6881
CO,1985,7789
CO,1984,7808
CO,1983,7760
CO,1982,7660
CO,1981,6679
CO,1980,7305
CO,1979,7858
CO,1978,7658
