period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2017,REPRB,Renewable energy production,CA,California,537840,Billion Btu,True
2017,RETCB,Renewable energy total consumption,WA,Washington,450523,Billion Btu,True
2017,RETCB,Renewable energy total consumption,TX,Texas,505042,Billion Btu,True
2017,REPRB,Renewable energy production,IA,Iowa,706564,Billion Btu,True
2017,RETCB,Renewable energy total consumption,CA,California,725380,Billion Btu,True
2017,RETCB,Renewable energy total consumption,IA,Iowa,342813,Billion Btu,True
2017,RETCB,Renewable energy total consumption,US,United States,7383481,Billion Btu,True
2016,RETCB,Renewable energy total consumption,WA,Washington,445992,Billion Btu,True
2016,REPRB,Renewable energy production,IA,Iowa,679318,Billion Btu,True
2016,REPRB,Renewable energy production,CA,California,462264,Billion Btu,True
2016,REPRB,Renewable energy production,TX,Texas,360015,Billion Btu,True
2016,REPRB,Renewable energy production,WA,Washington,427449,Billion Btu,True
2016,RETCB,Renewable energy total consumption,US,United States,7119713,Billion Btu,True
2016,RETCB,Renewable energy total consumption,CA,California,645587,Billion Btu,True
2016,RETCB,Renewable energy total consumption,TX,Texas,471877,Billion Btu,True
2016,RETCB,Renewable energy total consumption,IA,Iowa,330249,Billion Btu,True
2016,RERCB,Renewable energy sources consumed by the residential sector,US,United States,584076,Billion Btu,True
2016,RERCB,Renewable energy sources consumed by the residential sector,MI,Michigan,34913,Billion Btu,True
2016,RERCB,Renewable energy sources consumed by the residential sector,CA,California,56441,Billion Btu,True
2016,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,33100,Billion Btu,True
2016,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,35529,Billion Btu,True
2016,REPRB,Renewable energy production,US,United States,7188417,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,CA,California,52144,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,US,United States,639212,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,MI,Michigan,42432,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,PA,Pennsylvania,37280,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,35108,Billion Btu,True
2015,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,39677,Billion Btu,True
2015,RETCB,Renewable energy total consumption,CA,California,564459,Billion Btu,True
2015,RETCB,Renewable energy total consumption,WA,Washington,416372,Billion Btu,True
2015,RETCB,Renewable energy total consumption,US,United States,6829466,Billion Btu,True
2015,RETCB,Renewable energy total consumption,TX,Texas,398889,Billion Btu,True
2015,REPRB,Renewable energy production,WA,Washington,396565,Billion Btu,True
2015,REPRB,Renewable energy production,US,United States,6845928,Billion Btu,True
2015,REPRB,Renewable energy production,CA,California,391307,Billion Btu,True
2015,REPRB,Renewable energy production,IA,Iowa,655375,Billion Btu,True
2014,RERCB,Renewable energy sources consumed by the residential sector,US,United States,697378,Billion Btu,True
2014,RERCB,Renewable energy sources consumed by the residential sector,CA,California,69155,Billion Btu,True
2014,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,51232,Billion Btu,True
2014,REPRB,Renewable energy production,IA,Iowa,622027,Billion Btu,True
2014,REPRB,Renewable energy production,US,United States,6835588,Billion Btu,True
2014,REPRB,Renewable energy production,WA,Washington,411829,Billion Btu,True
2014,REPRB,Renewable energy production,CA,California,407848,Billion Btu,True
2014,RETCB,Renewable energy total consumption,TX,Texas,385070,Billion Btu,True
2014,RETCB,Renewable energy total consumption,WA,Washington,428271,Billion Btu,True
2014,RETCB,Renewable energy total consumption,CA,California,560848,Billion Btu,True
2014,RETCB,Renewable energy total consumption,US,United States,6799010,Billion Btu,True
