year,stateId,REPRB,RERCB,RETCB
1993,UT,7621.0,3247.0,7689.0
1993,VA,110214.0,16673.0,110056.0
1993,VT,11470.0,2291.0,11470.0
1993,WA,327371.0,18377.0,333704.0
1993,WI,87450.0,8733.0,88684.0
1993,WV,10775.0,4925.0,11000.0
1993,WY,4777.0,1018.0,5319.0
1994,AK,14299.0,1864.0,14301.0
1994,AL,253626.0,12204.0,255095.0
1994,AR,95675.0,5963.0,95703.0
1994,AZ,42659.0,12052.0,43382.0
1994,CA,353389.0,76603.0,355772.0
1994,CO,16681.0,7467.0,18625.0
1994,CT,37120.0,10592.0,37501.0
1994,DC,1848.0,1627.0,1848.0
1994,DE,2421.0,1901.0,2421.0
1994,FL,213667.0,40418.0,214035.0
1994,GA,210923.0,16771.0,211034.0
1994,HI,23020.0,1116.0,23020.0
1994,IA,106620.0,6138.0,78020.0
1994,ID,52046.0,2176.0,51607.0
1994,IL,121650.0,17610.0,100045.0
1994,IN,48606.0,9307.0,48955.0
1994,KS,15211.0,5622.0,13015.0
1994,KY,28961.0,11124.0,29855.0
1994,LA,140535.0,7967.0,141614.0
1994,MA,66997.0,19740.0,66997.0
1994,MD,39116.0,11893.0,39116.0
1994,ME,132498.0,4805.0,132498.0
1994,MI,90995.0,15707.0,97443.0
1994,MN,63970.0,10471.0,73382.0
1994,MO,22666.0,11936.0,25653.0
1994,MS,94862.0,7222.0,95203.0
1994,MT,38247.0,1764.0,38106.0
1994,NC,137151.0,18007.0,138184.0
1994,ND,11764.0,1540.0,10675.0
1994,NE,20292.0,3588.0,15661.0
1994,NH,30267.0,4056.0,30267.0
1994,NJ,41317.0,15071.0,41646.0
1994,NM,7131.0,3697.0,6686.0
1994,NV,15814.0,3086.0,15814.0
1994,NY,217354.0,52797.0,218065.0
1994,OH,78623.0,17196.0,92928.0
1994,OK,32764.0,6428.0,32764.0
1994,OR,152449.0,10455.0,152449.0
1994,PA,93125.0,24127.0,95054.0
1994,RI,5001.0,3327.0,5001.0
1994,SC,93678.0,9035.0,93678.0
1994,SD,21677.0,1609.0,22483.0
1994,TN,103171.0,14833.0,103022.0
1994,TX,103526.0,14448.0,104814.0
1994,UT,7282.0,3099.0,7282.0
1994,VA,114721.0,15833.0,115358.0
1994,VT,11897.0,2181.0,11897.0
1994,WA,321261.0,17460.0,328652.0
1994,WI,91371.0,8299.0,92731.0
1994,WV,10789.0,4676.0,10956.0
1994,WY,5741.0,966.0,6161.0
1995,AK,13038.0,1864.0,13675.0
1995,AL,254541.0,12202.0,256556.0
1995,AR,95272.0,5941.0,95304.0
1995,AZ,46738.0,12060.0,49010.0
1995,CA,410708.0,76661.0,419049.0
1995,CO,18805.0,7478.0,21823.0
1995,CT,43633.0,10610.0,43715.0
1995,DC,1850.0,1627.0,1850.0
1995,DE,2475.0,1904.0,2475.0
1995,FL,218618.0,41044.0,218817.0
1995,GA,220160.0,16791.0,220171.0
1995,HI,22171.0,1164.0,22171.0
1995,IA,106200.0,6143.0,77467.0
1995,ID,64081.0,2176.0,63648.0
