series_id,name,geography,year,value
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2020,7376
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2019,8627
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2018,8202
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2017,7218
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2016,6806
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2015,7002
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2014,8178
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2013,8285
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2012,6568
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2011,7885
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2010,7737
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2009,8099
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2008,8267
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2007,7421
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2006,6917
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2005,7158
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2004,7187
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2003,7529
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2002,7605
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2001,7458
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,2000,7563
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1999,6865
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1998,7067
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1997,7969
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1996,8896
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1995,8007
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1994,7802
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1993,8531
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1992,7397
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1991,7362
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1990,7214
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1989,8150
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1988,7635
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1987,6660
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1986,7453
